Team,Jumper,Name,Games,DoB,Height,Weight,Recruited,Position
Adelaide,21,"Atkins, Rory",78,1994-07-12,186,85,Calder Cannons,Midfield
Adelaide,18,"Betts, Eddie",296,1986-11-26,174,74,Calder Cannons,Forward
Adelaide,16,"Brown, Luke",135,1992-09-22,181,81,Norwood,Defender
Adelaide,41,"Butts, Jordon R",0,1999-12-31,198,86,Murray Bushrangers,Defender/Forward
Adelaide,2,"Crouch, Brad",62,1994-01-14,186,85,North Ballarat Rebels,Midfield
Adelaide,5,"Crouch, Matt",91,1995-04-21,182,80,North Ballarat Rebels,Midfield
Adelaide,40,"Davis, Ben",0,1997-05-19,187,82,UNSW,Forward
Adelaide,39,"Doedee, Tom",21,1997-03-01,188,88,Geelong Falcons,Defender
Adelaide,26,"Douglas, Richard",238,1987-02-06,181,79,Calder Cannons,Midfield/Forward
Adelaide,28,"Ellis-Yolmen, Cameron R",29,1993-01-28,190,97,Woodville-West Torrens,Midfield
Adelaide,32,"Fogarty, Darcy",10,1999-09-25,193,94,Glenelg,Forward
Adelaide,7,"Gallucci, Jordan",17,1998-05-04,182,76,Eastern Ranges,Forward
Adelaide,6,"Gibbs, Bryce",254,1989-03-15,188,84,Glenelg,Midfield
Adelaide,1,"Greenwood, Hugh",37,1992-03-06,191,92,Perth Wildcats,Midfield
Adelaide,35,"Hamill, Will",0,2000-11-17,186,71,Dandenong Stingrays,Defender
Adelaide,15,"Hartigan, Kyle",82,1991-11-07,194,98,Werribee,Defender
Adelaide,34,"Himmelberg, Elliott",1,1998-06-04,198,94,Redlands,Forward
Adelaide,37,"Hunter, Paul R",0,1993-02-09,200,104,Redland,Ruck
Adelaide,24,"Jacobs, Sam",197,1988-04-10,200,102,Woodville West Torrens,Ruck
Adelaide,4,"Jenkins, Josh",137,1989-02-08,200,108,Frankston,Forward
Adelaide,20,"Jones, Chayce",1,2000-01-14,180,77,Launceston,Midfield
Adelaide,42,"Keath, Alex",13,1992-01-20,197,93,Murray Bushrangers,Defender
Adelaide,8,"Kelly, Jake",54,1995-01-21,190,89,Oakleigh Chargers,Defender
Adelaide,3,"Knight, Riley",40,1995-03-27,181,80,Woodville West Torrens,Midfield/Forward
Adelaide,29,"Laird, Rory",122,1993-12-29,177,81,West Adelaide,Defender
Adelaide,27,"Lynch, Tom",124,1990-09-15,193,88,Sandringham Dragons,Forward
Adelaide,14,"MacKay, David",203,1988-07-25,181,77,Oakleigh,Defender
Adelaide,23,"McAdam, Shane",0,1995-05-28,181,78,Sturt,Forward
Adelaide,25,"McHenry, Ned",0,2000-07-13,179,70,Geelong Falcons,Midfield/Forward
Adelaide,36,"McPherson, Andrew",0,1999-06-20,186,79,Wwt Eagles,Defender
Adelaide,30,"Milera, Wayne",44,1997-09-14,184,81,Central District,Defender
Adelaide,44,"Murphy, Lachlan R",12,1998-12-04,176,76,Adelaide Football Club,Forward
